2.210: [GC2.210: [DefNew: 4288K->512K(4800K), 0.0346420 secs] 4288K->1262K(15488K), 0.0347380 secs] [Times: user=0.01 sys=0.03, real=0.03 secs] 
3.120: [GC3.120: [DefNew: 4800K->512K(4800K), 0.0908630 secs] 5550K->2207K(15488K), 0.0909320 secs] [Times: user=0.01 sys=0.08, real=0.09 secs] 
4.473: [GC4.473: [DefNew: 4800K->511K(4800K), 0.0048480 secs] 6495K->3056K(15488K), 0.0049210 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
6.167: [Full GC6.167: [Tenured: 2544K->3214K(10688K), 0.0145990 secs] 4243K->3214K(15488K), [Perm : 9498K->9498K(21248K)], 0.0146930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8.392: [GC8.392: [DefNew: 4352K->512K(4864K), 0.0027040 secs] 7566K->3933K(15552K), 0.0027680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.590: [GC8.590: [DefNew: 4864K->407K(4864K), 0.0025700 secs] 8285K->4149K(15552K), 0.0026450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.664: [GC8.664: [DefNew: 4759K->512K(4864K), 0.0020740 secs] 8501K->4559K(15552K), 0.0021740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.742: [GC8.742: [DefNew: 4864K->39K(4864K), 0.0010240 secs] 8911K->4091K(15552K), 0.0010800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.896: [GC8.896: [DefNew: 4391K->512K(4864K), 0.0017620 secs] 8443K->4576K(15552K), 0.0018240 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.074: [GC9.074: [DefNew: 4864K->54K(4864K), 0.0011800 secs] 8928K->4469K(15552K), 0.0012310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.249: [GC9.249: [DefNew: 4406K->31K(4864K), 0.0006430 secs] 8821K->4446K(15552K), 0.0006930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.911: [GC10.911: [DefNew: 4383K->353K(4864K), 0.0022150 secs] 8798K->4768K(15552K), 0.0022840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.609: [GC11.609: [DefNew: 4705K->426K(4864K), 0.0017710 secs] 9120K->5052K(15552K), 0.0018430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.953: [GC11.953: [DefNew: 4778K->379K(4864K), 0.0016410 secs] 9404K->5122K(15552K), 0.0017000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.093: [GC12.093: [DefNew: 4731K->451K(4864K), 0.0019440 secs] 9474K->5274K(15552K), 0.0020090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.172: [GC12.172: [DefNew: 4803K->231K(4864K), 0.0014700 secs] 9626K->5111K(15552K), 0.0015430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.224: [GC12.224: [DefNew: 4583K->148K(4864K), 0.0008690 secs] 9463K->5028K(15552K), 0.0009210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.268: [GC12.268: [DefNew: 4500K->72K(4864K), 0.0008060 secs] 9380K->4952K(15552K), 0.0008620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.745: [GC13.745: [DefNew: 4424K->512K(4864K), 0.0024620 secs] 9304K->5767K(15552K), 0.0025580 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.892: [GC13.892: [DefNew: 4864K->512K(4864K), 0.0024970 secs] 10119K->6423K(15552K), 0.0025740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
